"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","132 K"
"Secure System","236","Services","0","41,844 K"
"Registry","280","Services","0","19,716 K"
"smss.exe","876","Services","0","256 K"
"csrss.exe","1208","Services","0","2,660 K"
"wininit.exe","1312","Services","0","2,044 K"
"services.exe","1440","Services","0","6,864 K"
"LsaIso.exe","1460","Services","0","1,048 K"
"lsass.exe","1468","Services","0","39,420 K"
"svchost.exe","1612","Services","0","45,596 K"
"WUDFHost.exe","1640","Services","0","608 K"
"fontdrvhost.exe","1664","Services","0","80 K"
"svchost.exe","1780","Services","0","15,556 K"
"svchost.exe","1840","Services","0","5,568 K"
"WUDFHost.exe","1904","Services","0","1,780 K"
"svchost.exe","8","Services","0","1,164 K"
"svchost.exe","948","Services","0","4,840 K"
"svchost.exe","1808","Services","0","5,600 K"
"svchost.exe","2056","Services","0","4,236 K"
"svchost.exe","2064","Services","0","8,052 K"
"svchost.exe","2124","Services","0","5,644 K"
"svchost.exe","2132","Services","0","3,256 K"
"svchost.exe","2140","Services","0","5,580 K"
"IntelCpHDCPSvc.exe","2244","Services","0","584 K"
"svchost.exe","2272","Services","0","2,556 K"
"svchost.exe","2316","Services","0","4,376 K"
"svchost.exe","2408","Services","0","7,908 K"
"svchost.exe","2428","Services","0","14,340 K"
"svchost.exe","2552","Services","0","1,520 K"
"svchost.exe","2572","Services","0","7,224 K"
"svchost.exe","2808","Services","0","1,400 K"
"svchost.exe","2996","Services","0","7,108 K"
"svchost.exe","3052","Services","0","6,048 K"
"svchost.exe","3060","Services","0","4,328 K"
"svchost.exe","2052","Services","0","1,424 K"
"svchost.exe","3092","Services","0","2,788 K"
"WUDFHost.exe","3148","Services","0","7,788 K"
"Memory Compression","3156","Services","0","310,052 K"
"svchost.exe","3208","Services","0","3,068 K"
"svchost.exe","3264","Services","0","3,484 K"
"svchost.exe","3272","Services","0","3,520 K"
"svchost.exe","3408","Services","0","10,748 K"
"svchost.exe","3440","Services","0","2,020 K"
"svchost.exe","3488","Services","0","16,232 K"
"svchost.exe","3708","Services","0","1,968 K"
"svchost.exe","3732","Services","0","3,352 K"
"svchost.exe","3856","Services","0","10,840 K"
"AsusOptimization.exe","3884","Services","0","3,936 K"
"svchost.exe","3892","Services","0","2,712 K"
"spoolsv.exe","4024","Services","0","3,228 K"
"svchost.exe","4048","Services","0","1,116 K"
"svchost.exe","2928","Services","0","7,608 K"
"svchost.exe","4200","Services","0","2,908 K"
"svchost.exe","4228","Services","0","3,236 K"
"svchost.exe","4288","Services","0","3,956 K"
"svchost.exe","4444","Services","0","2,272 K"
"AsusAppService.exe","4464","Services","0","2,728 K"
"AsusPTPService.exe","4476","Services","0","1,796 K"
"AsusSoftwareManager.exe","4484","Services","0","3,152 K"
"AsusSystemDiagnosis.exe","4504","Services","0","2,828 K"
"AsusSystemAnalysis.exe","4512","Services","0","8,236 K"
"AsusSwitch.exe","4516","Services","0","1,560 K"
"svchost.exe","4528","Services","0","25,072 K"
"IntelAudioService.exe","4544","Services","0","3,764 K"
"jhi_service.exe","4552","Services","0","64 K"
"OneApp.IGCC.WinService.exe","4560","Services","0","9,660 K"
"svchost.exe","4584","Services","0","27,820 K"
"svchost.exe","4576","Services","0","3,184 K"
"ELANFPService.exe","4592","Services","0","1,868 K"
"svchost.exe","4612","Services","0","11,340 K"
