"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","132 K"
"Secure System","236","Services","0","41,844 K"
"Registry","280","Services","0","19,656 K"
"smss.exe","876","Services","0","256 K"
"csrss.exe","1208","Services","0","2,712 K"
"wininit.exe","1312","Services","0","2,044 K"
"services.exe","1440","Services","0","7,540 K"
"LsaIso.exe","1460","Services","0","1,516 K"
"lsass.exe","1468","Services","0","35,980 K"
"svchost.exe","1612","Services","0","47,324 K"
"WUDFHost.exe","1640","Services","0","608 K"
"fontdrvhost.exe","1664","Services","0","84 K"
"svchost.exe","1780","Services","0","16,420 K"
"svchost.exe","1840","Services","0","5,552 K"
"WUDFHost.exe","1904","Services","0","1,780 K"
"svchost.exe","8","Services","0","1,304 K"
"svchost.exe","948","Services","0","5,364 K"
"svchost.exe","1808","Services","0","5,568 K"
"svchost.exe","2056","Services","0","4,288 K"
"svchost.exe","2064","Services","0","9,148 K"
"svchost.exe","2124","Services","0","5,660 K"
"svchost.exe","2132","Services","0","3,496 K"
"svchost.exe","2140","Services","0","5,916 K"
"IntelCpHDCPSvc.exe","2244","Services","0","584 K"
"svchost.exe","2272","Services","0","2,792 K"
"svchost.exe","2316","Services","0","4,612 K"
"svchost.exe","2408","Services","0","8,616 K"
"svchost.exe","2428","Services","0","14,756 K"
"svchost.exe","2552","Services","0","1,728 K"
"svchost.exe","2572","Services","0","7,176 K"
"svchost.exe","2808","Services","0","1,952 K"
"svchost.exe","2996","Services","0","9,536 K"
"svchost.exe","3052","Services","0","6,524 K"
"svchost.exe","3060","Services","0","4,596 K"
"svchost.exe","2052","Services","0","1,452 K"
"svchost.exe","3092","Services","0","2,812 K"
"WUDFHost.exe","3148","Services","0","8,952 K"
"Memory Compression","3156","Services","0","64,100 K"
"svchost.exe","3208","Services","0","3,096 K"
"svchost.exe","3264","Services","0","3,564 K"
"svchost.exe","3272","Services","0","3,660 K"
"svchost.exe","3408","Services","0","10,908 K"
"svchost.exe","3440","Services","0","2,248 K"
"svchost.exe","3488","Services","0","20,896 K"
"svchost.exe","3708","Services","0","2,216 K"
"svchost.exe","3732","Services","0","3,384 K"
"svchost.exe","3856","Services","0","11,060 K"
"AsusOptimization.exe","3884","Services","0","4,032 K"
"svchost.exe","3892","Services","0","3,064 K"
"spoolsv.exe","4024","Services","0","3,228 K"
"svchost.exe","4048","Services","0","1,296 K"
"svchost.exe","2928","Services","0","12,012 K"
"svchost.exe","4200","Services","0","3,076 K"
"svchost.exe","4228","Services","0","3,836 K"
"svchost.exe","4288","Services","0","4,576 K"
"svchost.exe","4444","Services","0","2,320 K"
"AsusAppService.exe","4464","Services","0","2,736 K"
"AsusPTPService.exe","4476","Services","0","1,796 K"
"AsusSoftwareManager.exe","4484","Services","0","3,152 K"
"AsusSystemDiagnosis.exe","4504","Services","0","2,828 K"
"AsusSystemAnalysis.exe","4512","Services","0","8,456 K"
"AsusSwitch.exe","4516","Services","0","1,560 K"
"svchost.exe","4528","Services","0","19,896 K"
"IntelAudioService.exe","4544","Services","0","3,896 K"
"jhi_service.exe","4552","Services","0","64 K"
"OneApp.IGCC.WinService.exe","4560","Services","0","9,924 K"
"svchost.exe","4584","Services","0","31,148 K"
"svchost.exe","4576","Services","0","3,216 K"
"ELANFPService.exe","4592","Services","0","1,868 K"
"svchost.exe","4612","Services","0","13,196 K"
